国家,中国
指标名称,中国:现货价(平均价):玉米
频率,日
单位,元/吨
指标ID,S5005793
时间区间,2009-01-04:2024-04-15
来源,汇易网
更新时间,'2024-04-15
2013-05-24,2380.42
2013-05-27,2381.25
2013-05-28,2385.42
2013-05-29,2388.33
2013-05-30,2389.17
2013-05-31,2389.58
2013-06-03,2392.5
2013-06-04,2392.08
2013-06-05,2395.83
2013-06-06,2396.25
2013-06-07,2396.25
2013-06-08,2396.67
2013-06-09,2398.33
2013-06-13,2400.0
2013-06-14,2401.25
2013-06-17,2401.25
2013-06-18,2400.21
2013-06-19,2400.21
2013-06-20,2399.38
2013-06-21,2399.38
2013-06-24,2402.5
2013-06-25,2402.5
2013-06-26,2407.5
2013-06-27,2412.5
2013-06-28,2416.67
2013-07-01,2417.08
2013-07-02,2417.5
2013-07-03,2417.92
2013-07-04,2421.25
2013-07-05,2424.17
2013-07-08,2427.92
2013-07-09,2432.92
2013-07-10,2435.42
